PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
19700801 19700831     4.1
19700901 19700930     4.1
19701001 19701031    21.8
19701101 19701130     1.5
19701201 19701231    21.9
19710101 19710131     1.5
19710201 19710228    37.3
19710301 19710331   175.7
19710401 19710430     6.1
19710501 19710531     1.3
19710601 19710630    10.7
19710701 19710731     3.8
19710801 19710831     3.8
19710901 19710930    10.7
19711001 19711031     0.0
19711101 19711130    12.4
19711201 19711231    13.5
19720101 19720131    41.7
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     2.3
19720501 19720531     0.0
19720601 19720630     1.3
19720701 19720731     0.0
19720801 19720831    11.2
19720901 19720930     1.3
19721001 19721031     2.3
19721101 19721130     5.8
19721201 19721231     3.8
19730101 19730131    16.7
19730201 19730228    77.4
19730301 19730331    16.3
19730401 19730430    44.7
19730501 19730531     6.1
19730601 19730630    29.0
19730701 19730731    10.7
19730801 19730831    25.1
19730901 19730930     3.8
19731001 19731031    39.7
19731101 19731130    10.5
19731201 19731231    28.7
19740101 19740131   384.8
19740201 19740228    53.0
19740301 19740331    48.8
19740401 19740430    91.2
19740501 19740531    31.5
19740601 19740630     3.0
19740701 19740731     9.8
19740801 19740831    36.6
19740901 19740930    25.1
19741001 19741031    51.6
19741101 19741130    16.0
19741201 19741231     4.0
19750101 19750131     0.3
19750201 19750228   106.2
19750301 19750331    11.2
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    30.0
19750701 19750731    16.8
19750801 19750831     4.6
19750901 19750930    88.8
19751001 19751031    56.6
19751101 19751130     1.8
19751201 19751231   123.6
19760101 19760131   228.6
19760201 19760229   178.4
19760301 19760331    10.2
19760401 19760430    12.2
19760501 19760531     2.0
19760601 19760630     0.0
19760701 19760731    44.3
19760801 19760831     3.0
19760901 19760930     9.2
19761001 19761031    55.2
19761101 19761130    15.8
19761201 19761231     1.4
19770101 19770131     9.6
19770201 19770228     3.2
19770301 19770331    43.8
19770401 19770430     0.0
19770501 19770531    59.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     1.0
19770901 19770930     7.9
19771001 19771031    11.7
19771101 19771130     8.4
19771201 19771231     7.0
19780101 19780131    12.0
19780201 19780228     3.0
19780301 19780331    16.7
19780401 19780430     0.0
19780501 19780531    65.2
19780601 19780630    36.9
19780701 19780731    31.5
19780801 19780831    26.9
19780901 19780930    25.5
19781001 19781031    19.1
19781101 19781130    13.6
19781201 19781231     6.0
19790101 19790131    99.0
19790201 19790228    66.6
19790301 19790331     0.6
19790401 19790430    24.4
19790501 19790531    63.8
19790601 19790630    38.1
19790701 19790731     4.8
19790801 19790831    19.4
19790901 19790930    45.1
19791001 19791031     6.2
19791101 19791130     0.8
19791201 19791231    29.8
19800101 19800131     4.8
19800201 19800229     0.0
19800301 19800331     6.0
19800401 19800430    63.4
19800501 19800531     7.4
19800601 19800630     0.8
19800701 19800731    12.7
19800801 19800831    24.6
19800901 19800930     0.6
19801001 19801031     1.1
19801101 19801130     2.1
19801201 19801231     2.3
19810101 19810131    47.2
19810201 19810228    13.0
19810301 19810331    36.4
19810401 19810430    61.6
19810501 19810531    82.6
19810601 19810630    15.2
19810701 19810731    92.0
19810801 19810831     0.0
19810901 19810930    13.0
19811001 19811031     8.0
19811101 19811130     8.6
19811201 19811231    11.0
19820101 19820131     9.8
19820201 19820228     0.0
19820301 19820331    81.9
19820401 19820430     0.0
19820501 19820531     3.4
19820601 19820630     0.0
19820701 19820731     1.0
19820801 19820831     0.0
19820901 19820930     6.0
19821001 19821031     0.0
19821101 19821130     2.4
19821201 19821231     7.4
19830101 19830131    14.8
19830201 19830228     9.6
19830301 19830331    18.2
19830401 19830430    27.0
19830501 19830531    15.0
19830601 19830630     8.2
19830701 19830731    23.4
19830801 19830831    24.0
19830901 19830930     1.4
19831001 19831031    20.2
19831101 19831130    16.8
19831201 19831231     4.6
19840101 19840131   219.4
19840201 19840229     8.0
19840301 19840331     9.0
19840401 19840430     7.8
19840501 19840531     0.0
19840601 19840630    25.8
19840701 19840731    44.6
19840801 19840831    22.2
19840901 19840930    14.2
19841001 19841031    73.0
19841101 19841130     6.0
19841201 19841231     3.2
19850101 19850131     0.0
19850201 19850228    25.0
19850301 19850331     1.6
19850401 19850430     1.0
19850501 19850531     3.6
19850601 19850630    24.0
19850701 19850731     0.2
